Reporting period,Organization,Donor,Cluster,ACTIVITY DESCRIPTION,Implementing Partners,Region,District,SPECIFIC LOCATION ,RURAL/URBAN         ,Status,DURATION,Start Date,End Date,Y_COORD,X_COORD
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Bossaso,kobdhaxad,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Qandala,Canjeel,,Ongoing,,9/1/2018,2/28/2019,9.90839,43.92502
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Qandala,Hamure,,Ongoing,,9/1/2018,2/1/2018,,
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Qandala,Canjeel,,Ongoing,,9/1/2018,3/1/2019,9.90839,43.92502
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Qandala,Canjeel,,Ongoing,,9/1/2018,2/28/2019,9.90839,43.92502
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Qandala,Turmasale,,Ongoing,,9/1/2018,30/2/2019,,
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Bossaso,Balidoog,,Ongoing,,9/1/2018,2/1/2019,,
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Bossaso,Geesoqabad,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Bossaso,Tasjiic,,Ongoing,,9/1/2018,30/2/2019,11.253103,49.185114
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Bossaso,Geesoqabad,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Bossaso,Geesoqabad,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Qandala,Bel'atay,,Ongoing,,9/1/2018,30/2/2019,,
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Qandala,Balidhidin,,Ongoing,,9/1/2018,30/2/2019,10.87986,50.39222
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Qandala,Xarago,,Ongoing,,9/1/2018,3/1/2019,10.98106,50.33011
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Qandala,Xarago,,Ongoing,,9/1/2018,2/28/2019,10.98106,50.33011
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Qandala,Xarago,,Ongoing,,9/1/2018,2/28/2019,10.98106,50.33011
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Caluula,Gunbah,,Ongoing,,9/1/2018,30/2/2019,,
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Iskushuban,Tageer,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,UNHCR,Education,,,Bari,Iskushuban,Tageer,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,UNHCR,Education,,,Bari,Bossaso,kobdhaxad,,Ongoing,,9/1/2018,30/2/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Qandala,Canjeel,,Ongoing,,9/1/2018,30/2/2019,9.90839,43.92502
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Caluula,Dayaha,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Caluula,Dayaha,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Bossaso,Ufayn,,Ongoing,,9/1/2018,30/2/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Caluula,Dayaha,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Caluula,Ceel laas,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Caluula,Ceel laas,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Qandala,Xarago,,Ongoing,,9/1/2018,30/2/2019,10.98106,50.33011
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Caluula,Ceel laas,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Iskushuban,Tageer,,Ongoing,,9/1/2018,30/2/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Caluula,Tohin,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Caluula,Tohin,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Caluula,Dayaha,,Ongoing,,9/1/2018,30/2/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Caluula,Tohin,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Qandala,Hamure,,Ongoing,,9/1/2018,macrh 2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Caluula,Ceel laas,,Ongoing,,9/1/2018,30/2/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Caluula,Tohin,,Ongoing,,9/1/2018,30/2/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Qandala,Hamure,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Qandala,Hamure,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Qandala,Turmasale,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Qandala,Hamure,,Ongoing,,9/1/2018,30/2/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Qandala,Turmasale,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,UNHCR,Education,Cash Grants,,Bari,Qandala,Turmasale,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Bossaso,Balidoog,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Qandala,Hamure,,Ongoing,,9/1/2018,2/1/2018,,
Periode I,RI,EAC,Education,OOSC SUPPORT,,Bari,Bossaso,Balidoog,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Bossaso,Balidoog,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Bossaso,Tasjiic,,Ongoing,,9/1/2018,2/28/2019,11.253103,49.185114
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Turmasale,,Ongoing,,9/1/2018,30/2/2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Bossaso,Tasjiic,,Ongoing,,9/1/2018,3/1/2019,11.253103,49.185114
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Bossaso,Balidoog,,Ongoing,,9/1/2018,2/1/2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Bossaso,Tasjiic,,Ongoing,,9/1/2018,2/28/2019,11.253103,49.185114
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Bel'atay,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Bossaso,Tasjiic,,Ongoing,,9/1/2018,30/2/2019,11.253103,49.185114
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Bel'atay,,Ongoing,,9/1/2018,28/09/2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Balidhidin,,Ongoing,,9/29/2018,10/12/2018,10.87986,50.39222
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Caluula,Gunbah,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Balidhidin,,Ongoing,,9/1/2018,3/1/2019,10.87986,50.39222
Periode I,RI,SHF 2017,Education,Other- please specify,,Bari,Bossaso,kobdhaxad,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,ECW2017/18,Education,Emergency Teacher Incentives,,Bari,Qandala,Balidhidin,,Ongoing,,9/1/2018,2/28/2019,10.87986,50.39222
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Qandala,Balidhidin,,Ongoing,,9/1/2018,2/28/2019,10.87986,50.39222
Periode I,RI,ECW2017/18,Education,Provision of Food/Food Grant,,Bari,Caluula,Gunbah,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Provision of Safe Drinking Water,,Bari,Qandala,Canjeel,,Ongoing,,9/29/2018,10/12/2018,9.90839,43.92502
Periode I,RI,ECW2017/18,Education,Distribution of individual learning kits,,Bari,Caluula,Gunbah,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Distribution of hygiene materials,,Bari,Caluula,Gunbah,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,ECW2017/18,Education,Emergency Teacher Incentives,,Bari,Bossaso,Geesoqabad,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Iskushuban,Tageer,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,ECW2017/18,Education,Provision of Food/Food Grant,,Bari,Bossaso,kobdhaxad,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,ECW2017/18,Education,Provision of Safe Drinking Water,,Bari,Caluula,Dayaha,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,ECW2017/18,Education,Distribution of individual learning kits,,Bari,Bossaso,kobdhaxad,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Distribution of hygiene materials,,Bari,Bossaso,kobdhaxad,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Emergency Teacher Incentives,,Bari,Qandala,Canjeel,,Ongoing,,9/1/2018,2/28/2019,9.90839,43.92502
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Caluula,Ceel laas,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,ECW2017/18,Education,Provision of Food/Food Grant,,Bari,Qandala,Canjeel,,Ongoing,,9/1/2018,3/1/2019,9.90839,43.92502
Periode I,RI,ECW2017/18,Education,Provision of Safe Drinking Water,,Bari,Qandala,Canjeel,,Ongoing,,9/1/2018,2/28/2019,9.90839,43.92502
Periode I,RI,ECW2017/18,Education,Distribution of individual learning kits,,Bari,Bossaso,Tasjiic,,Ongoing,,9/29/2018,10/12/2018,11.253103,49.185114
Periode I,RI,ECW2017/18,Education,Distribution of hygiene materials,,Bari,Qandala,Bel'atay,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,ECW2017/18,Education,Emergency Teacher Incentives,,Bari,Bossaso,Geesoqabad,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Qandala,Balidhidin,,Ongoing,,9/29/2018,10/12/2018,10.87986,50.39222
Periode I,RI,ECW2017/18,Education,Provision of Food/Food Grant,,Bari,Bossaso,Geesoqabad,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,ECW2017/18,Education,Provision of Safe Drinking Water,,Bari,Bossaso,Geesoqabad,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Distribution of individual learning kits,,Bari,Caluula,Gunbah,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,ECW2017/18,Education,Distribution of hygiene materials,,Bari,Bossaso,kobdhaxad,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,ECW2017/18,Education,Emergency Teacher Incentives,,Bari,Qandala,Xarago,,Ongoing,,9/1/2018,3/1/2019,10.98106,50.33011
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Qandala,Xarago,,Ongoing,,9/1/2018,2/28/2019,10.98106,50.33011
Periode I,RI,ECW2017/18,Education,Provision of Food/Food Grant,,Bari,Qandala,Xarago,,Ongoing,,9/1/2018,2/28/2019,10.98106,50.33011
Periode I,RI,ECW2017/18,Education,Provision of Safe Drinking Water,,Bari,Qandala,Canjeel,,Ongoing,,9/29/2018,10/12/2018,9.90839,43.92502
Periode I,RI,ECW2017/18,Education,Distribution of individual learning kits,,Bari,Iskushuban,Tageer,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,ECW2017/18,Education,Distribution of hygiene materials,,Bari,Iskushuban,Tageer,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Emergency Teacher Incentives,,Bari,Bossaso,Geesoqabad,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Iskushuban,Tageer,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,ECW2017/18,Education,Provision of Food/Food Grant,,Bari,Caluula,Dayaha,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,ECW2017/18,Education,Provision of Safe Drinking Water,,Bari,Caluula,Dayaha,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Distribution of individual learning kits,,Bari,Caluula,Dayaha,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,ECW2017/18,Education,Distribution of hygiene materials,,Bari,Caluula,Dayaha,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Emergency Teacher Incentives,,Bari,Caluula,Ceel laas,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Caluula,Ceel laas,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Provision of Food/Food Grant,,Bari,Caluula,Ceel laas,,Ongoing,,9/29/2018,10/12/2018,,
Periode I,RI,ECW2017/18,Education,Provision of Safe Drinking Water,,Bari,Caluula,Ceel laas,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,ECW2017/18,Education,Distribution of individual learning kits,,Bari,Bossaso,Tasjiic,,Ongoing,,9/29/2018,10/12/2018,11.253103,49.185114
Periode I,RI,ECW2017/18,Education,Distribution of hygiene materials,,Bari,Caluula,Tohin,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Emergency Teacher Incentives,,Bari,Caluula,Tohin,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Caluula,Tohin,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Provision of Food/Food Grant,,Bari,Qandala,Hamure,,Ongoing,,9/1/2018,macrh 2019,,
Periode I,RI,ECW2017/18,Education,Provision of Safe Drinking Water,,Bari,Qandala,Hamure,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Distribution of individual learning kits,,Bari,Qandala,Hamure,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Distribution of hygiene materials,,Bari,Qandala,Turmasale,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Emergency Teacher Incentives,,Bari,Qandala,Turmasale,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Qandala,Turmasale,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Provision of Food/Food Grant,,Bari,Bossaso,Balidoog,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Provision of Safe Drinking Water,,Bari,Bossaso,Balidoog,,Ongoing,,9/1/2018,3/1/2019,,
Periode I,RI,ECW2017/18,Education,Distribution of individual learning kits,,Bari,Bossaso,Balidoog,,Ongoing,,9/1/2018,2/28/2019,,
Periode I,RI,ECW2017/18,Education,Distribution of hygiene materials,,Bari,Bossaso,Tasjiic,,Ongoing,,9/1/2018,2/28/2019,11.253103,49.185114
Periode I,RI,ECW2017/18,Education,Emergency Teacher Incentives,,Bari,Qandala,Canjeel,,Ongoing,,8/12/2018,8/14/2018,9.90839,43.92502
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Bossaso,Tasjiic,,Ongoing,,9/1/2018,3/1/2019,11.253103,49.185114
Periode I,RI,ECW2017/18,Education,Provision of Food/Food Grant,,Bari,Qandala,Canjeel,,Ongoing,,8/12/2018,8/14/2018,9.90839,43.92502
Periode I,RI,ECW2017/18,Education,Provision of Safe Drinking Water,,Bari,Bossaso,Tasjiic,,Ongoing,,9/1/2018,2/28/2019,11.253103,49.185114
Periode I,RI,ECW2017/19,Education,Distribution of individual learning kits,,Bari,Bossaso,Biyo Kulule IDP,,Ongoing,,10/1/2017,3/1/2020,11.35175,49.44693
Periode I,RI,ECW2017/20,Education,Distribution of hygiene materials,,Bari,Bossaso,Biyo Kulule IDP,,Ongoing,,10/1/2017,3/1/2020,11.35175,49.44693
Periode I,RI,ECW2017/18,Education,Emergency Teacher Incentives,,Bari,Bossaso,Absame A IDP,,Ongoing,,10/1/2017,3/1/2020,11.278036,49.193934
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Bossaso,Lanta Hawada IDP,,Ongoing,,10/1/2017,3/1/2020,11.03675,49.18761
Periode I,RI,ECW2017/18,Education,Provision of Food/Food Grant,,Bari,Bossaso,Lanta Hawada IDP,,Ongoing,,10/1/2017,3/1/2020,11.03675,49.18761
Periode I,RI,ECW2017/18,Education,Provision of Safe Drinking Water,,Bari,Bossaso,Suwayto,,Ongoing,,10/1/2017,3/1/2020,,
Periode I,RI,ECW2017/18,Education,Emergency Teacher Incentives,,Bari,Bossaso,Ridwaan,,Ongoing,,10/1/2017,3/1/2020,,
Periode I,RI,ECW2017/18,Education,Provision of Food/Food Grant,,Bari,Bossaso,Ridwaan,,Ongoing,,10/1/2017,3/1/2020,,
Periode I,RI,ECW2017/18,Education,Provision of Safe Drinking Water,,Bari,Bossaso,Lanta Hawada IDP,,Ongoing,,10/1/2017,3/1/2020,11.03675,49.18761
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Bossaso,Lanta Hawada IDP,,Ongoing,,10/1/2017,3/1/2020,11.03675,49.18761
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Bossaso,Biyo Kulule IDP,,Ongoing,,10/1/2017,3/1/2020,11.35175,49.44693
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Bossaso,Raf & Raho IDP,,Ongoing,,10/1/2017,3/1/2020,11.24186,48.976608
Periode I,RI,ECW2017/18,Education,Construction/Rehabilitation of WASH facilites,,Bari,Bossaso,Raf & Raho IDP,,Ongoing,,10/1/2017,3/1/2020,11.24186,48.976608
Periode I,RI,ECW2017/18,Education,Distribution of hygiene kits,,Bari,Bossaso,100 Bush IDP IDP,,Ongoing,,10/1/2017,3/1/2020,11.286266,49.16996
Periode I,RI,ECW2017/18,Education,Distibution of sanitary pads,,Bari,Bossaso,100 Bush IDP IDP,,Ongoing,,10/1/2017,3/1/2020,11.286266,49.16996
Periode I,RI,ECW2017/18,Education,Disribution of individua llearning  materials ,,Bari,Bossaso,Lanta Hawada IDP,,Ongoing,,10/1/2017,3/1/2020,11.03675,49.18761
Periode I,RI,ECW2017/19,Education,Distribution of hygiene materials,,Bari,Bossaso,Lanta Hawada IDP,,Ongoing,,10/1/2017,3/1/2020,11.03675,49.18761
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Bossaso,Biyo Kulule IDP,,Ongoing,,10/1/2017,3/1/2020,11.35175,49.44693
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Bossaso,Biyo Kulule IDP,,Ongoing,,10/1/2017,3/1/2020,11.35175,49.44693
Periode I,RI,ECW2017/18,Education,Distribution of hygiene kits,,Bari,Bossaso,Biyo Kulule IDP,,Ongoing,,10/1/2017,3/1/2020,11.35175,49.44693
Periode I,RI,ECW2017/18,Education,Distibution of sanitary pads,,Bari,Bossaso,Biyo Kulule IDP,,Ongoing,,10/1/2017,3/1/2020,11.35175,49.44693
Periode I,RI,ECW2017/18,Education,Disribution of individual learning  materials ,,Bari,Bossaso,Biyo Kulule IDP,,Ongoing,,10/1/2017,3/1/2020,11.35175,49.44693
Periode I,RI,ECW2017/18,Education,Installation of handwash basin,,Bari,Bossaso,Lanta Hawada IDP,,Ongoing,,10/1/2017,3/1/2020,11.03675,49.18761
Periode I,RI,ECW2017/18,Education,Construction of twin latrines,,Bari,Bossaso,Netco,,Ongoing,,10/1/2017,3/1/2020,,
Periode I,RI,ECW2017/19,Education,Distribution of hygiene materials,,Bari,Bossaso,Netco,,Ongoing,,10/1/2017,3/1/2020,,
Periode I,RI,ECW2017/18,Education,Other- please specify,,Bari,Bossaso,Biyo Kulule IDP,,Ongoing,,10/1/2017,3/1/2020,11.35175,49.44693
Periode I,RI,ECW2017/18,Education,Distribution of waste management materials,,Bari,Bossaso,Biyo Kulule IDP,,Ongoing,,10/1/2017,3/1/2020,11.35175,49.44693
Periode I,RI,ECW2017/18,Education,Distribution of hygiene kits,,Bari,Bossaso,Biyo Kulule IDP,,Ongoing,,10/1/2017,3/1/2020,11.35175,49.44693
Periode I,RI,ECW2017/18,Education,Distibution of sanitary pads,,Bari,Bossaso,Raf & Raho IDP,,Ongoing,,10/1/2017,3/1/2020,11.24186,48.976608
Periode I,RI,ECW2017/18,Education,Disribution of individua llearning  materials ,,Bari,Bossaso,Raf & Raho IDP,,Ongoing,,10/1/2017,3/1/2020,11.24186,48.976608
Periode I,RI,ECW2017/18,Education,Installation of handwash basin,,Bari,Bossaso,Lanta Hawada IDP,,Ongoing,,10/1/2017,3/1/2020,11.03675,49.18761
Periode I,RI,ECW2017/19,Education,Distribution of hygiene materials,,Bari,Bossaso,Faratooyo,,Ongoing,,10/1/2017,3/1/2020,7.53628,47.77293
Periode I,RI,ECW2017/18,Education,School Furniture Supply,,Bari,Bossaso,Netco,,Ongoing,,10/1/2017,3/1/2020,,
Periode I,RI,ECW 2017/18,Education,School Supply(textbooks),,Bari,Bossaso,Biyo Kulule IDP,,Ongoing,,10/1/2017,3/1/2020,11.35175,49.44693
Periode I,RI,ECW 2017/18,Education,Material and equipment for latrine and waste management in schools,,Bari,Qandala,Baliga,,Ongoing,,10/1/2017,3/1/2020,9.27419,45.2962
Periode I,RI,ECW 2017/18,Education,Hygiene kits,,Bari,Qandala,Balidhidin,,Ongoing,,10/1/2017,3/1/2020,10.87986,50.39222
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Balidhidin,,Ongoing,,10/1/2017,3/1/2020,10.87986,50.39222
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Qaanlaaye,,Ongoing,,10/1/2017,3/1/2020,11.29169,50.32919
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Caluula,Caluula,,Ongoing,,10/1/2017,3/1/2020,11.59299,51.166759
Periode I,RI,UNHCR 2017/19,Education,Distribution of hygiene materials,,Bari,Caluula,Caluula,,Ongoing,,10/1/2017,3/1/2020,11.59299,51.166759
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Caluula,Caluula,,Ongoing,,10/1/2017,3/1/2020,11.59299,51.166759
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Caluula,Caluula,,Ongoing,,10/1/2017,3/1/2020,11.59299,51.166759
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Caluula,Caluula,,Ongoing,,10/1/2017,3/1/2020,11.59299,51.166759
Periode I,RI,UNHCR 2017/19,Education,Distribution of hygiene materials,,Bari,Caluula,Caluula,,Ongoing,,10/1/2017,3/1/2020,11.59299,51.166759
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Bel'atay,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Balidhidin,,Planned,,1/1/2019,31-06-2019,10.87986,50.39222
Periode I,RI,UNHCR 2017/19,Education,Distribution of hygiene materials,,Bari,Qandala,Canjeel,,Planned,,1/1/2019,31-06-2019,9.90839,43.92502
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Bossaso,Ufayn,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Xarago,,Planned,,1/1/2019,31-06-2019,10.98106,50.33011
Periode I,RI,UNHCR 2017/19,Education,Distribution of hygiene materials,,Bari,Caluula,Dayaha,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Caluula,Ceel laas,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Caluula,Tohin,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Hamure,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/19,Education,Distribution of hygiene materials,,Bari,Qandala,Turmasale,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Bossaso,Balidoog,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Bossaso,Tasjiic,,Planned,,1/1/2019,31-06-2019,11.253103,49.185114
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Bossaso,kobdhaxad,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/19,Education,Distribution of hygiene materials,,Bari,Qandala,Bel'atay,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Balidhidin,,Planned,,1/1/2019,31-06-2019,10.87986,50.39222
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Canjeel,,Planned,,1/1/2019,31-06-2019,9.90839,43.92502
Periode I,RI,UNHCR 2017/19,Education,Distribution of hygiene materials,,Bari,Bossaso,Ufayn,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Xarago,,Planned,,1/1/2019,31-06-2019,10.98106,50.33011
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Caluula,Dayaha,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/19,Education,Distribution of hygiene materials,,Bari,Caluula,Ceel laas,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Caluula,Tohin,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Hamure,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Qandala,Turmasale,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/19,Education,Distribution of hygiene materials,,Bari,Bossaso,Balidoog,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Bossaso,Tasjiic,,Planned,,1/1/2019,31-06-2019,11.253103,49.185114
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Bari,Bossaso,kobdhaxad,,Planned,,1/1/2019,31-06-2019,,
Periode I,RI,UNHCR 2017/18,Education,Other- please specify,,Mudug,Gaalkacyo,Horumar village,,Completed,,1/1/2018,12/31/2018,,
